Response ID,Age Group,Gender,Industry,Years of Experience,Current Work Arrangement,Have you ever experienced working from home?,Do you think that working from home increases your work productivity?,Do you think that working from home prevents you from going out?,Do you think that working from home gives you more flexibility?,Do you think that working from home saves you more time?,"Which work type has the potential to cause you physical problems, such as the neck, back, and leg pain?","Which work type has the potential to cause mental disorders, such as stress, anxiety, and depression?",Do you think that working from home prevents you from getting in contact with people?,Which work type keeps you focused while working?,Which work type do you prefer the most?
977,35–44,Male,Retail/Hospitality,0–2 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working from home,Working in an office
978,25–34,Female,Retail/Hospitality,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working from home
979,35–44,Female,Retail/Hospitality,6–10 years,Fully In-Office,No,No,Yes,No,Yes,Working from home,Working in an office,No,Working in an office,Working in an office
980,25–34,Male,Other,11–20 years,Fully In-Office,No,No,No,No,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
981,55+,Female,Finance,0–2 years,Fully In-Office,Yes,No,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,Working from home
982,45–54,Male,Healthcare,6–10 years,Fully Remote,No,Yes,No,Yes,Yes,Working from home,Working in an office,No,Working in an office,Working in an office
983,45–54,Female,Technology,6–10 years,Hybrid,Yes,Yes,Yes,No,Yes,Working in an office,Working in an office,Yes,Working in an office,A mixed mode of working
984,35–44,Male,Finance,3–5 years,Fully Remote,Yes,Yes,No,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
985,25–34,Female,Technology,6–10 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working from home
986,55+,Female,Healthcare,0–2 years,Hybrid,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
987,25–34,Male,Technology,3–5 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working in an office
988,18–24,Female,Finance,6–10 years,Fully Remote,Yes,No,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working from home,A mixed mode of working
989,25–34,Non-binary/Other,Technology,20+ years,Fully In-Office,Yes,No,Yes,Yes,No,Working in an office,Working from home,No,Working in an office,Working in an office
990,45–54,Male,Finance,20+ years,Fully Remote,No,Yes,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working from home,Working in an office
991,35–44,Male,Government,20+ years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working in an office
992,45–54,Female,Government,6–10 years,Fully In-Office,Yes,Yes,No,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,Working in an office
993,45–54,Male,Healthcare,0–2 years,Fully In-Office,No,No,Yes,Yes,Yes,Working in an office,Working from home,No,Working in an office,Working in an office
994,25–34,Male,Finance,3–5 years,Hybrid,Yes,Yes,No,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
995,55+,Male,Finance,3–5 years,Hybrid,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
996,25–34,Female,Education,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working from home
997,35–44,Male,Retail/Hospitality,0–2 years,Fully Remote,Yes,Yes,Yes,No,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
998,18–24,Male,Technology,6–10 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
999,55+,Female,Other,3–5 years,Hybrid,Yes,No,No,Yes,No,Working in an office,Working in an office,Yes,Working in an office,A mixed mode of working
1000,25–34,Female,Technology,3–5 years,Hybrid,No,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working from home,A mixed mode of working
